filename,examiner,title,year,doi,source,notes
Wolf Fichtner/Layer et al 2026.pdf,Wolf Fichtner,Analyzing the influence of large-scale weather patterns on renewable energy systems: A review,2026,10.1016/j.rser.2026.117034,Renewable and Sustainable Energy Reviews,Draft row from scan-pdfs; metadata extracted from PDF
Wolf Fichtner/McKenna et al 2018.pdf,Wolf Fichtner,A stochastic multi-energy simulation model for UK residential buildings,2018,10.1016/j.enbuild.2018.02.051,Energy & Buildings,Draft row from scan-pdfs; metadata extracted from PDF
Wolf Fichtner/Stelzer et al 2026.pdf,Wolf Fichtner,Design limits and investment risks of mid-term storage under uncertain market conditions,2026,10.1016/j.enconman.2026.121554,Energy Conversion and Management,Draft row from scan-pdfs; metadata extracted from PDF
Wolf Fichtner/Beranek et al 2026.pdf,Wolf Fichtner,Flexibility at a cost: Industrial battery storage and the breakdown of grid fee fairness in Germany,2026,10.1016/j.enpol.2026.115156,Energy Policy,Draft row from scan-pdfs; metadata extracted from PDF
Wolf Fichtner/Ensslen et al 2018.pdf,Wolf Fichtner,Incentivizing smart charging: Modeling charging tariffs for electric vehicles in German and French electricity markets,2018,10.1016/j.erss.2018.02.013,Energy Research & Social Science,Draft row from scan-pdfs; metadata extracted from PDF
Wolf Fichtner/Hayn et al 2018.pdf,Wolf Fichtner,The impact of electricity tariffs on residential demand side flexibility: results of bottom-up load profile modeling,2018,10.1007/s12667-018-0278-8,Energy Systems,Draft row from scan-pdfs; metadata extracted from PDF
Wolf Fichtner/Langenmayr et al 2025.pdf,Wolf Fichtner,Stand‐alone power‐to‐X production dynamics: A multi‐method approach to quantify the emission‐cost reduction trade‐off,2025,10.1111/jiec.70085,J of Industrial Ecology 2025.29:1791-1805,Draft row from scan-pdfs; metadata extracted from PDF
Wolf Fichtner/McKenna et al 2016.pdf,Wolf Fichtner,Key challenges and prospects for large wind turbines,2016,10.1016/j.rser.2015.09.080,Renewable and Sustainable Energy Reviews,Draft row from scan-pdfs; metadata extracted from PDF
Wolf Fichtner/McKenna et al 2018b.pdf,Wolf Fichtner,Combining local preferences with multi-criteria decision analysis and linear optimization to develop feasible energy concepts in small communities,2018,10.1016/j.ejor.2018.01.036,European Journal of Operational Research,Draft row from scan-pdfs; metadata extracted from PDF
Wolf Fichtner/Paetz et al 2011.pdf,Wolf Fichtner,Smart Homes as a Means to Sustainable Energy Consumption: A Study of Consumer Perceptions,2011,10.1007/s10603-011-9177-2,J Consum Policy (2012) 35:23–41,Draft row from scan-pdfs; metadata extracted from PDF
Wolf Fichtner/Ringler et al 2016.pdf,Wolf Fichtner,Agent-based modelling and simulation of smart electricity grids and markets – A literature review,2016,10.1016/j.rser.2015.12.169,Renewable and Sustainable Energy Reviews,Draft row from scan-pdfs; metadata extracted from PDF
Wolf Fichtner/Scharnhorst et al 2025.pdf,Wolf Fichtner,Household carbon caps and tariffs: A living lab experiment,2025,10.1016/j.erss.2025.104294,Energy Research & Social Science,Draft row from scan-pdfs; metadata extracted from PDF
Wolf Fichtner/Schuler et al 2024.pdf,Wolf Fichtner,A review of shipping cost projections for hydrogen-based energy carriers,2024,10.1016/j.ijhydene.2023.10.004,International Journal of Hydrogen Energy,Draft row from scan-pdfs; metadata extracted from PDF
Wolf Fichtner/Schuler et al 2025.pdf,Wolf Fichtner,Metals and hydrogen derivatives for long-distance energy supply–A techno-economic comparison,2025,10.1016/j.enconman.2025.120125,Energy Conversion and Management,Draft row from scan-pdfs; metadata extracted from PDF
Wolf Fichtner/Slednev et al 2018.pdf,Wolf Fichtner,Highly resolved optimal renewable allocation planning in power systems under consideration of dynamic grid topology,2018,10.1016/j.cor.2017.12.008,Computers and Operations Research,Draft row from scan-pdfs; metadata extracted from PDF
Wolf Fichtner/Sloot et al 2026.pdf,Wolf Fichtner,Public perceptions of energy security risks and energy transition support in France and Germany,2026,10.1016/j.crsus.2026.100663,Cell Reports Sustainability,Draft row from scan-pdfs; metadata extracted from PDF
